Date,Customer ID,Gender,Age,Product Category,Price per Unit,Quanity for 1-jan,Quantity for 8-jan,Quantity for 15-jan,Revenue for jan-1,Revenue for jan-8,Revenue for 15-jan,Total Revenue
2023-11-24,CUST001,Male,34,Beauty,50,5,3,5,,,,
2023-02-27,CUST002,Female,26,Clothing,500,6,2,3,,,,
2023-01-13,CUST003,Male,50,Electronics,2894.67,7,1,2,,,,
2023-05-21,CUST004,Male,37,Clothing,500,8,1,3,,,,
2023-05-06,CUST005,Male,30,Beauty,50,4,2,2,,,,
2023-04-25,CUST006,Female,45,Food,30,2,1,3,,,,
2023-03-13,CUST007,Male,46,Clothing,25,3,2,4,,,,
2023-02-22,CUST008,Male,30,,25.8967,4,4,5,,,,
2023-12-13,CUST009,Male,63,Electronics,300,4,2,3,,,,
2023-10-07,CUST010,Female,52,Clothing,50,5,4,4,,,,
2023-02-14,CUST011,Male,23,Clothing,50,3,2,5,,,,
2023-10-30,CUST012,Male,35,Food,25,5,3,6,,,,
2023-08-05,CUST013,Male,22,Electronics,500,6,3,4,,,,
2023-01-17,CUST014,Male,64,,34.566,7,4,3,,,,
2023-01-16,CUST015,Female,42,Electronics,500,4,4,5,,,,
2023-02-17,CUST016,Male,19,Food,399.4,3,3,7,,,,
2023-04-22,CUST017,Female,27,Clothing,25,2,4,9,,,,
2023-04-30,CUST018,Female,47,Electronics,25,2,2,9,,,,
2023-09-16,CUST019,Female,62,Clothing,25,2,2,5,,,,
2023-11-05,CUST020,Male,22,Clothing,300.981,3,3,3,,,,
2023-01-14,CUST021,Female,50,Beauty,500,4,1,2,,,,
2023-10-15,CUST022,Male,18,Clothing,50,5,2,3,,,,
2023-04-12,CUST023,Female,35,Clothing,30,6,4,2,,,,
2023-11-29,CUST024,Female,49,Clothing,300,7,1,3,,,,
2023-12-26,CUST025,Female,64,Beauty,50,5,1,2,,,,
2023-10-07,CUST026,Female,28,Electronics,500,5,2,4,,,,
2023-08-03,CUST027,Female,38,,25,6,2,4,,,,
2023-04-23,CUST028,Female,43,Beauty,500,7,1,5,,,,
2023-08-18,CUST029,Female,42,Electronics,30,6,1,5,,,,
2023-10-29,CUST030,Female,39,Beauty,300,5,3,4,,,,
2023-05-23,CUST031,Male,44,Electrofnics,300,4,4,4,,,,
2023-01-04,CUST032,Male,30,Food,30,3,3,2,,,,
2023-03-23,CUST033,Female,50,Electronics,50,2,2,2,,,,
2023-12-24,CUST034,Female,51,Clothing,50,3,3,2,,,,
2023-08-05,CUST035,Female,58,Beauty,34.567,5,3,2,,,,
2023-06-24,CUST036,Male,52,Beauty,300,7,3,3,,,,
2023-05-23,CUST037,Female,18,Beauty,25,8,3,4,,,,
2023-03-21,CUST038,Male,38,Beauty,50,5,4,5,,,,
2023-04-21,CUST039,Male,23,Clothing,30,6,4,6,,,,
2023-06-22,CUST040,Male,45,Beauty,50,4,1,7,,,,
2023-02-22,CUST041,Male,34,Clothing,25,5,2,8,,,,
2023-02-17,CUST042,Male,22,Clothing,300,3,3,7,,,,
2023-07-14,CUST043,Female,48,Clothing,300,5,1,5,,,,
2023-02-19,CUST044,Female,22,Clothing,25,6,1,4,,,,
2023-07-03,CUST045,Female,55,Electronics,30,4,1,3,,,,
2023-06-26,CUST046,Female,20,Electronics,300,3,4,2,,,,
2023-11-06,CUST047,Female,40,Beauty,500,2,3,7,,,,
2023-05-16,CUST048,Male,54,Electronics,300,3,3,3,,,,
2023-01-23,CUST049,Female,54,Electronics,500,4,2,4,,,,
2023-08-24,CUST050,Female,27,Beauty,25,5,3,6,,,,
2023-10-02,CUST051,Male,27,Beauty,25,6,3,5,,,,
2023-03-05,CUST052,Female,36,Beauty,300,7,1,2,,,,
2023-07-13,CUST053,Male,34,Electronics,50,4,2,3,,,,
2023-02-10,CUST054,Female,38,Electronics,500,5,3,2,,,,
2023-10-10,CUST055,Male,31,Beauty,30,6,4,2,,,,
2023-05-31,CUST056,Female,26,Clothing,2345.789,7,3,2,,,,
2023-11-18,CUST057,Female,63,Beauty,30,3,1,2,,,,
2023-11-13,CUST058,Male,18,Clothing,300,3,4,2,,,,
2023-07-05,CUST059,Male,62,Clothing,50,3,1,2,,,,
2023-10-23,CUST060,Male,30,Beauty,50,3,3,2,,,,
2023-04-09,CUST061,Male,21,Beauty,50,1,4,3,,,,
2023-12-27,CUST062,Male,18,Beauty,50,1,2,3,,,,
2023-02-05,CUST063,Male,57,Electronics,25,1,2,4,,,,
2023-01-24,CUST064,Male,49,Clothing,25,6,4,5,,,,
2023-12-05,CUST065,Male,51,Electronics,500,4,4,6,,,,
2023-04-27,CUST066,Female,45,Food,30,5,1,7,,,,
2023-05-29,CUST067,Female,48,Beauty,300,6,4,6,,,,
2023-02-10,CUST068,Male,25,Electronics,300,7,1,7,,,,
2023-04-30,CUST069,Female,56,Beauty,25,4,3,6,,,,
2023-02-21,CUST070,Female,43,Clothing,300,2,1,7,,,,
2023-07-14,CUST071,Female,51,Beauty,25,5,4,8,,,,
2023-05-23,CUST072,Female,20,Electronics,500,7,4,8,,,,
2023-08-21,CUST073,Male,29,Electronics,30,8,3,7,,,,
2023-11-22,CUST074,Female,18,Beauty,27894.45,5,4,5,,,,
2023-07-06,CUST075,Male,61,Beauty,50,3,4,6,,,,
2023-03-25,CUST076,Female,22,Electronics,50,2,2,4,,,,
2023-07-09,CUST077,Female,47,Clothing,50,4,2,9,,,,
2023-07-01,CUST078,Female,47,Clothing,500,7,3,7,,,,
2023-04-18,CUST079,Male,34,Beauty,300,9,1,8,,,,
2023-12-10,CUST080,Female,64,Clothing,30,9,2,7,,,,
2023-05-17,CUST081,Male,40,Electronics,50,6,1,6,,,,
2023-12-26,CUST082,Female,32,Beauty,50,4,4,4,,,,
2023-12-16,CUST083,Male,54,Electronics,50,6,2,3,,,,
2023-11-28,CUST084,Female,38,Electronics,30,4,3,4,,,,
2023-02-06,CUST085,Male,31,Clothing,50,6,3,5,,,,
2023-11-08,CUST086,Male,19,Beauty,30,3,3,6,,,,
2023-11-22,CUST087,Female,28,Beauty,50,3,2,7,,,,
2023-03-29,CUST088,Male,56,Food,568.231,2,1,8,,,,
2023-10-01,CUST089,Female,55,Electronics,500,1,4,9,,,,
2023-05-06,CUST090,Female,51,Electronics,30,1,1,6,,,,
2023-03-25,CUST091,Female,55,Electronics,500,1,1,4,,,,
2023-08-25,CUST092,Female,51,Electronics,30,1,4,5,,,,
2023-07-14,CUST093,Female,35,Beauty,500,4,4,6,,,,
2023-05-19,CUST094,Female,47,Beauty,500,5,2,3,,,,
2023-11-24,CUST095,Female,32,Clothing,30,6,2,4,,,,
2023-12-19,CUST096,Female,44,Food,23.687,7,2,5,,,,
2023-10-13,CUST097,Female,51,Beauty,500,8,2,7,,,,
2023-04-23,CUST098,Female,55,Beauty,35.673,4,2,8,,,,
2023-12-17,CUST099,Female,50,Electronics,300,5,4,9,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
